address,category,protocol
0x0650caf159c5a49f711e8169d4336ecb9b950275,Lending,Sky.Money
0xa632d59b9b804a956bfaa9b48af3a1b74808fc1f,Lending,Spark.Fi PYUSD/USDS
0x8c240c385305aeb2d5ceb60425aabcb3488fa93d,Lending,UwUlend
0xb95bd0793bcc5524af358ffaae3e38c3903c7626,Lending,UwUlend
0xc480a11a524e4db27c6d4e814b4d9b3646bc12fc,Lending,UwUlend
0xadfa5fa0c51d11b54c8a0b6a15f47987bd500086,Lending,UwUlend
0x20e61ba4365cc4bfa82b1449982e091904564aa4,Lending,UwUlend
0xfb76e9be55758d0042e003c1e46e186360f0627e,Other,Aragon
0x9cd83be15a79646a3d22b81fc8ddf7b7240a62cb,Other,Pulsechain’s sacrifice
0x075e72a5edf65f0a5f44699c7654c1a76941ddc8,Other,PulseX Sacrifice
0x23773e65ed146a459791799d01336db287f25334,Other,Tornado Cash
0x000000000dfde7deaf24138722987c9a6991e2d4,Other,MEV Bot
0x0a59649758aa4d66e25f08dd01271e891fe52199,PSM,Maker USDC PSM
0xf6e72db5454dd049d0788e411b06cfaf16853042,PSM,Maker USDC LitePSM
0x7bbd8ca5e413bca521c2c80d8d1908616894cf21,PSM,Maker USDP PSM
0x79a0fa989fb7adf1f8e80c93ee605ebb94f7c6a5,PSM,Maker GUSD PSM
0x37305b1cd40574e4c5ce33f8e8306be057fd7341,PSM,Maker USDC LitePSM Pocket
0x7951c7ef839e26f63da87a42c9a87986507f1c07,Treasury,1Inch Treasury
0x0f1dfef1a40557d279d0de6e49ab306891a638b8,Treasury,Abraxas Capital Mgmt
0xdde0d6e90bfb74f1dc8ea070cfd0c0180c03ad16,Treasury,Abraxas Capital Mgmt
0x3e40d73eb977dc6a537af587d48316fee66e9c8c,Treasury,Lido: Agent
0xad6eaa735d9df3d7696fd03984379dae02ed8862,Treasury,Cumberland
0x431e81e5dfb5a24541b5ff8762bdef3f32f96354,Treasury,Fantom Foundation
0x8ffae111ab06f532a18418190129373d14570014,Treasury,Fei Treasury
0x6abfd6139c7c3cc270ee2ce132e309f59caaf6a2,Treasury,Morpho Seed Funding
0x8ce6936845b85412b4bd7ec9458ebcb8703a326b,Yield Farm,Karak Finance
0xc80573c8d53ea1bba1ed505bbb537dcd4adb9067,Yield Farm,Vesper Finance
